energy_eV,relative_absorption
2.1017371403501954,0.008502978779393544
2.131082380805793,0.013254074095396806
2.1475207098044393,0.006934067421607404
2.162679127270557,0.00858289184878136
2.1778367081435093,0.009666318728613899
2.192993010888015,0.00988594380000718
2.208151056534948,0.01128348042836258
2.2233150728676234,0.01671620550471009
2.2376230572615583,0.03172396297269375
2.2552992608555407,0.04160346992979158
2.2688447751977043,0.05846175764625339
2.282671956043792,0.09159058877224635
2.2930665486565114,0.13279709485232316
2.3000140288489703,0.17226534624513512
2.3055853907473445,0.21288107295437708
2.3104686934986765,0.25407053732183393
2.315355404592532,0.2975634731784609
2.319551074239637,0.33961460914027874
2.3275102641046512,0.39031536101868447
2.330033367427799,0.4400920874570652
2.33067826970194,0.48525028195467235
2.3338949794150827,0.5889380963237358
2.3345236373586458,0.5379863630165805
2.3358673433433697,0.6581911207882211
2.3453086003623826,0.7069235171364471
2.348692164236282,0.7588309548150197
2.352616683193886,0.803864234269682
2.3575151104651684,0.8552753533703309
2.363780112671468,0.8990892769848737
2.3675750983123898,0.9213569511835235
2.374855072421852,0.9345235290686771
2.3801741827889833,0.9362382099481388
2.390001591674067,0.9281311439336575
2.405108605137935,0.8950394301741671
2.4202153862148132,0.8617906615404153
2.435333089480234,0.8359234719969583
2.4504638064171105,0.8188513554121503
2.465607304638452,0.8104172569117299
2.480758006856492,0.8068518595134191
2.49591498352327,0.8075269437201711
2.511077769864804,0.812128399783463
2.526242415302261,0.8179862948408476
2.541410081770591,0.8258859032636329
2.556580072108824,0.8353560604290341
2.5717521539299697,0.8462397114627895
2.584558834973378,0.8548051086127159
2.5952016279577594,0.8642163944072472
